Move1,Move2,Move3,NextMove
rock,paper,rock,scissors
paper,rock,scissors,paper
rock,scissors,paper,rock
scissors,paper,rock,scissors
paper,rock,scissors,rock
rock,scissors,rock,paper
scissors,rock,paper,scissors
rock,paper,scissors,rock
paper,scissors,rock,paper
scissors,rock,paper,rock
rock,rock,paper,scissors
rock,paper,scissors,paper
paper,scissors,paper,rock
scissors,paper,rock,paper
paper,rock,paper,scissors
rock,paper,rock,paper
paper,rock,paper,rock
rock,scissors,paper,scissors
scissors,paper,scissors,rock
paper,scissors,rock,scissors
scissors,rock,scissors,paper
rock,scissors,rock,scissors
scissors,rock,paper,paper
rock,paper,paper,scissors
paper,paper,scissors,rock
paper,scissors,rock,paper
scissors,rock,paper,scissors
rock,paper,scissors,rock
paper,scissors,rock,paper
scissors,rock,paper,rock
rock,rock,scissors,paper
rock,scissors,paper,rock
scissors,paper,rock,scissors
paper,rock,scissors,paper
rock,scissors,paper,paper
scissors,paper,paper,rock
paper,paper,rock,scissors
paper,rock,scissors,rock
rock,scissors,rock,paper
scissors,rock,paper,scissors
rock,paper,rock,scissors
paper,rock,scissors,paper
rock,scissors,paper,rock
scissors,paper,rock,paper
paper,rock,paper,scissors
rock,paper,scissors,paper
paper,scissors,paper,rock
scissors,paper,rock,scissors
rock,scissors,rock,paper
paper,rock,paper,scissorsrock,rock,paper,scissors
rock,paper,scissors,scissors
paper,scissors,scissors,paper
scissors,scissors,paper,rock
scissors,paper,rock,scissors
paper,rock,scissors,paper
rock,scissors,paper,rock
scissors,paper,rock,paper
paper,rock,paper,scissors
rock,paper,scissors,paper
paper,scissors,paper,scissors
scissors,paper,scissors,rock
paper,scissors,rock,scissors
scissors,rock,scissors,paper
rock,scissors,paper,rock
scissors,paper,rock,paper
paper,rock,paper,scissors
rock,paper,scissors,rock
paper,scissors,rock,scissors
scissors,rock,scissors,paper
rock,scissors,paper,rock
scissors,paper,rock,rock
paper,rock,rock,paper
